Hz,dB
20,-27.56793667
20.5865,-27.39012
21.1902,-27.21713
21.8116,-26.87199
22.4512,-26.53997
23.1096,-26.22297
23.7872,-25.92411
24.4848,-25.64431
25.2028,-25.38583
25.9418,-25.15129
26.7026,-24.94325
27.4856,-24.76385
28.2916,-24.61693
29.1212,-24.50659
29.9752,-24.43701
30.8542,-24.41277
31.759,-24.43905
32.6903,-24.52177
33.6489,-24.66691
34.6357,-24.88061
35.6514,-25.16801
36.6968,-25.53115
37.7729,-25.96447
38.8806,-26.44347
40.0208,-26.91715
41.1943,-27.30013
42.4023,-27.46009
43.6458,-27.29679
44.9257,-26.74799
46.2431,-25.82475
47.5991,-24.59267
48.995,-23.18445
50.4317,-21.70935
51.9106,-20.26021
53.4328,-18.88239
54.9997,-17.60035
56.6126,-16.41947
58.2727,-15.34161
59.9815,-14.36411
61.7404,-13.48289
63.5509,-12.69291
65.4145,-11.98725
67.3328,-11.35595
69.3073,-10.78557
71.3397,-10.25841
73.4317,-9.75253
75.585,-9.24443
77.8015,-8.71169
80.083,-8.13865
82.4314,-7.51993
84.8487,-6.86249
87.3368,-6.18449
89.8979,-5.51215
92.5341,-4.87251
95.2476,-4.28771
98.0407,-3.76951
100.9157,-3.31419
103.875,-2.90209
106.9211,-2.50093
110.0565,-2.07663
113.2839,-1.60643
116.6059,-1.09143
120.0253,-0.56091
123.5449,-0.06845
127.1678,0.32125
130.897,0.55097
134.7355,0.58867
138.6865,0.43821
142.7534,0.13647
146.9396,-0.26663
151.2485,-0.73101
155.6838,-1.22309
160.2491,-1.68317
164.9484,-2.01445
169.7854,-2.14543
174.7642,-2.08029
179.8891,-1.88273
185.1643,-1.65921
190.5941,-1.53639
196.1832,-1.58963
201.9362,-1.79367
207.8578,-2.04421
213.9532,-2.23741
220.2272,-2.35875
226.6853,-2.45827
233.3327,-2.54803
240.1751,-2.60417
247.2181,-2.65551
254.4676,-2.73151
261.9297,-2.79967
269.6107,-2.86757
277.5169,-2.98985
285.6549,-3.08557
294.0316,-3.09405
302.6539,-3.08887
311.5291,-3.06643
320.6645,-3.03725
330.0678,-3.14271
339.7469,-3.28091
349.7098,-3.25699
359.9649,-3.30307
370.5207,-3.35415
381.386,-3.23587
392.5699,-3.26903
404.0818,-3.34639
415.9313,-3.20783
428.1283,-3.08839
440.6829,-3.10089
453.6057,-3.16589
466.9075,-3.06777
480.5993,-3.05811
494.6926,-2.96557
509.1992,-2.92319
524.1312,-2.93017
539.5011,-2.82645
555.3217,-2.81187
571.6062,-3.00987
588.3683,-3.00609
605.6219,-2.88887
623.3814,-2.51755
641.6617,-2.45951
660.4781,-1.92051
679.8463,-1.59809
699.7825,-1.24397
720.3032,-1.47623
741.4257,-1.22771
763.1677,-1.32635
785.5471,-1.03781
808.5829,-0.82437
832.2942,-0.73135
856.7008,-0.59921
881.8231,-0.64637
907.6821,-0.65381
934.2994,-0.47857
961.6972,-0.16835
989.8985,-0.14649
1018.9268,0.14649
1048.8063,0.39063
1079.5619,0.62739
1111.2195,0.82675
1143.8055,1.20933
1177.347,1.53139
1211.8721,1.75205
1247.4096,1.92171
1283.9892,2.14093
1321.6415,2.30401
1360.398,2.27193
1400.2909,2.26107
1441.3537,2.10493
1483.6207,1.93511
1527.1271,1.68383
1571.9093,1.62881
1618.0047,1.23561
1665.4519,0.95009
1714.2904,0.72209
1764.5611,0.57409
1816.3059,0.55203
1869.5681,0.73713
1924.3922,0.76653
1980.824,0.68163
2038.9107,0.41651
2098.7007,0.18179
2160.244,0.03831
2223.592,0.05287
2288.7977,0.14943
2355.9155,0.39633
2425.0015,0.42881
2496.1134,0.36089
2569.3106,0.38163
2644.6543,0.28215
2722.2074,0.09205
2802.0347,0.12981
2884.2029,0.11405
2968.7807,0.20097
3055.8386,0.53987
3145.4495,1.17437
3237.6882,1.80477
3332.6317,2.48567
3430.3594,2.85301
3530.9529,2.79239
3634.4962,2.44019
3741.0759,1.73593
3850.781,1.01647
3963.7032,0.55669
4079.9367,0.56345
4199.5787,0.84365
4322.7292,1.64285
4449.491,2.86465
4579.97,4.23955
4714.2752,5.80459
4852.5189,7.46145
4994.8165,9.00001
5141.2869,9.77573
5292.0524,9.31361
5447.2391,7.12593
5606.9766,3.96683
5771.3982,1.23457
5940.6415,-0.84817
6114.8477,-1.59123
6294.1624,-1.14933
6478.7355,0.34417
6668.721,0.61785
6864.2778,-1.77103
7065.5691,-4.67365
7272.7633,-6.07191
7486.0333,-7.01551
7705.5573,-7.37541
7931.5188,-5.53519
8164.1064,-3.41867
8403.5146,-3.42789
8649.9433,-4.42261
8903.5984,-6.08187
9164.6917,-8.29083
9433.4416,-12.01969
9710.0723,-14.44321
9994.8151,-15.90079
10287.9079,-15.95867
10589.5954,-14.93933
10900.1298,-11.27241
11219.7704,-7.89907
11548.7843,-6.25543
11887.4464,-5.46053
12236.0396,-5.27395
12594.8551,-6.64679
12964.1927,-6.81671
13344.3609,-5.48727
13735.6773,-3.94817
14138.4689,-2.03169
14553.0721,-0.04505
14979.8334,-0.06241
15419.1092,0.31049
15871.2666,0.82075
16336.6832,1.02487
16815.7479,0.49067
17308.861,0.21909
17816.4343,-2.12147
18338.892,-6.27609
18876.6704,-13.61943
19430.2189,-16.375795
20000,-20.54167
